shop.id,arm,time,date,num.cust,num.agyw,num.condom.agyw,num.oc.agyw,num.ec.agyw,num.contra.agyw,num.preg.agyw,num.hivref.agyw,num.fpref.agyw,num.pregref.agyw,num.ref.agyw,num.hivst.rec.agyw,ward,time2,num.nonagyw,agyw.prop,wday,wend,duration,hour.min.st
Comparison 9,Comparison,2,2019-12-02,8,4,0,0,0,0,0,0,0,0,0,1,ward4,1,4,0.5,Mon,Weekday,3,10
Comparison 9,Comparison,2,2019-12-08,2,0,0,0,0,0,0,0,0,0,0,0,ward4,1,2,0,Sun,Weekend,3,14
Comparison 10,Comparison,1,2019-10-14,9,2,0,0,0,0,0,0,0,0,0,0,ward3,1,7,0.2222222222222222,Mon,Weekday,3,12.5
Comparison 10,Comparison,1,2019-10-22,11,2,0,0,0,0,1,0,0,0,0,0,ward3,1,9,0.18181818181818182,Tue,Weekday,3,15.5
Comparison 10,Comparison,1,2019-10-23,20,4,0,0,0,0,1,0,0,0,0,0,ward3,1,16,0.2,Wed,Weekday,3,18
Comparison 10,Comparison,1,2019-10-26,24,5,0,0,0,0,0,0,0,0,0,0,ward3,1,19,0.20833333333333334,Sat,Weekend,3.033333333333333,17.083333333333332
Comparison 10,Comparison,1,2019-11-01,18,4,0,0,0,0,0,0,0,0,0,0,ward3,1,14,0.2222222222222222,Fri,Weekday,3,16
Comparison 10,Comparison,2,2019-11-27,5,0,0,0,0,0,0,0,0,0,0,0,ward3,1,5,0,Wed,Weekday,3,10.5
Comparison 10,Comparison,2,2019-12-03,17,3,0,0,0,0,1,0,0,0,0,0,ward3,1,14,0.17647058823529413,Tue,Weekday,3,12
Comparison 10,Comparison,2,2019-12-06,15,2,0,0,0,0,0,0,0,0,0,0,ward3,1,13,0.13333333333333333,Fri,Weekday,3,15
Comparison 10,Comparison,2,2019-12-07,7,2,0,0,0,0,0,0,0,0,0,0,ward3,1,5,0.2857142857142857,Sat,Weekend,3,13.5
Comparison 10,Comparison,2,2019-12-19,15,3,0,0,0,0,0,0,0,0,0,0,ward3,1,12,0.2,Thu,Weekday,3,17.5
Intervention 10,Intervention (Queen Club),1,2019-10-14,9,2,0,0,1,1,0,0,0,0,0,0,ward2,1,7,0.2222222222222222,Mon,Weekday,3,13
Intervention 10,Intervention (Queen Club),1,2019-10-15,5,3,0,0,3,3,0,0,0,0,0,0,ward2,1,2,0.6,Tue,Weekday,3,15.5
Intervention 10,Intervention (Queen Club),1,2019-10-19,4,0,0,0,0,0,0,0,0,0,0,0,ward2,1,4,0,Sat,Weekend,3,10.5
Intervention 10,Intervention (Queen Club),1,2019-10-24,6,0,0,0,0,0,0,0,0,0,0,0,ward2,1,6,0,Thu,Weekday,3,11.5
Intervention 10,Intervention (Queen Club),2,2019-11-28,2,0,0,0,0,0,0,0,0,0,0,0,ward2,1,2,0,Thu,Weekday,3,11.5
Intervention 10,Intervention (Queen Club),2,2019-12-02,12,3,0,0,0,0,0,0,0,0,0,1,ward2,1,9,0.25,Mon,Weekday,3,17
Intervention 10,Intervention (Queen Club),2,2019-12-04,19,2,0,0,0,0,0,0,0,0,0,0,ward2,1,17,0.10526315789473684,Wed,Weekday,3,17.5
Intervention 10,Intervention (Queen Club),2,2019-12-07,6,0,0,0,0,0,0,0,0,0,0,0,ward2,1,6,0,Sat,Weekend,3,17.833333333333332
Intervention 10,Intervention (Queen Club),2,2019-12-10,7,1,0,0,0,0,0,0,0,0,0,0,ward2,1,6,0.14285714285714285,Tue,Weekday,3,15.5
